Incident ID, Reported on, Incident type, Address
131753,04/04/2016 at 03:48,Graffiti,"64, Warrington Street, Mairehau, 8013, Canterbury"
131754,04/04/2016 at 03:50,Graffiti,"64, Warrington Street, Mairehau, 8013, Canterbury"
131756,04/04/2016 at 03:51,Graffiti,"256, Geraldine Street, Edgeware, 8013, Canterbury"
131758,04/04/2016 at 03:52,Roading/Streets,"36–64, Creyke Road, Ilam, 8041, Canterbury"
131760,04/04/2016 at 03:54,Graffiti,"256, Geraldine Street, Edgeware, 8013, Canterbury"
131761,04/04/2016 at 03:55,Graffiti,"31–67, Cleveland Street, Mairehau, 8013, Canterbury"
131764,04/04/2016 at 03:56,Graffiti,"92, Warrington Street, Mairehau, 8013, Canterbury"
131767,04/04/2016 at 03:59,Graffiti,"74, Cleveland Street, Mairehau, 8013, Canterbury"
131768,04/04/2016 at 04:00,Roading/Streets,"78, Gloucester Street, Christchurch, 8013, Canterbury"
131769,04/04/2016 at 04:01,Graffiti,"120, Warrington Street, Mairehau, 8013, Canterbury"
131771,04/04/2016 at 04:01,Roading/Streets,"37 Birdwood Ave, Beckenham, Christchurch 8023, New Zealand"
131774,04/04/2016 at 04:04,Graffiti,"Hills Road, Mairehau, 8013, Canterbury"
131775,04/04/2016 at 04:04,Roading/Streets,"70, Gloucester Street, Christchurch, 8013, Canterbury"
131776,04/04/2016 at 04:06,Graffiti,"10, Shirley Road, Mairehau, 8013, Canterbury"
131777,04/04/2016 at 04:08,Graffiti,"10, Shirley Road, Mairehau, 8013, Canterbury"
131779,04/04/2016 at 04:10,Graffiti,"62–76, Chancellor Street, Mairehau, 8013, Canterbury"
131780,04/04/2016 at 04:13,Graffiti,"76, Chancellor Street, Richmond, 8013, Canterbury"
131781,04/04/2016 at 04:14,Graffiti,"14, Shirley Road, Mairehau, 8013, Canterbury"
131782,04/04/2016 at 04:15,Graffiti,"14, Shirley Road, Mairehau, 8013, Canterbury"
131784,04/04/2016 at 04:16,Graffiti,"16, Shirley Road, Mairehau, 8013, Canterbury"
131786,04/04/2016 at 04:17,Graffiti,"18, Shirley Road, Mairehau, 8013, Canterbury"
131788,04/04/2016 at 04:19,Graffiti,"18, Shirley Road, Mairehau, 8013, Canterbury"
131789,04/04/2016 at 04:21,Graffiti,"2, Emmett Street, Shirley, 8013, Canterbury"
131791,04/04/2016 at 04:23,Graffiti,"5–11, Emmett Street, Mairehau, 8013, Canterbury"
131792,04/04/2016 at 04:24,Roading/Streets,"21, Shirley Road, Mairehau, 8013, Canterbury"
131793,04/04/2016 at 04:27,Rubbish/Recycling,"1 Ebbtide St, South New Brighton, Christchurch 8062, New Zealand"
131794,04/04/2016 at 04:29,Graffiti,"11, Shirley Road, Mairehau, 8013, Canterbury"
131795,04/04/2016 at 04:33,Parks,"Saint Martins, 8022, Canterbury"
131796,04/04/2016 at 04:39,Graffiti,"11, Shirley Road, Mairehau, 8013, Canterbury"
131799,04/04/2016 at 04:45,Graffiti,"6–8, Shirley Road, Mairehau, 8013, Canterbury"
131800,04/04/2016 at 04:45,Graffiti,"122, Opawa Road, Opawa, 8023, Canterbury"
131801,04/04/2016 at 04:45,Roading/Streets,"125, Rugby Street, Merivale, 8014, Canterbury"
131802,04/04/2016 at 04:46,Graffiti,"9, Shirley Road, Mairehau, 8013, Canterbury"
131803,04/04/2016 at 04:47,Graffiti,"9, Shirley Road, Mairehau, 8013, Canterbury"
131805,04/04/2016 at 04:48,Graffiti,"6–8, Shirley Road, Mairehau, 8013, Canterbury"
131806,04/04/2016 at 04:50,Graffiti,"Hills Road, Mairehau, 8013, Canterbury"
131808,04/04/2016 at 04:56,Graffiti,"127, Warrington Street, Mairehau, 8013, Canterbury"
131810,04/04/2016 at 04:57,Graffiti,"121, Warrington Street, Mairehau, 8013, Canterbury"
131811,04/04/2016 at 04:58,Graffiti,"115, Warrington Street, Mairehau, 8013, Canterbury"
131812,04/04/2016 at 04:59,Graffiti,"109, Warrington Street, Mairehau, 8013, Canterbury"
131813,04/04/2016 at 05:00,Graffiti,"107, Warrington Street, Mairehau, 8013, Canterbury"
131814,04/04/2016 at 05:01,Graffiti,"99, Warrington Street, Mairehau, 8013, Canterbury"
131815,04/04/2016 at 05:02,Graffiti,"82, Warrington Street, Mairehau, 8013, Canterbury"
131817,04/04/2016 at 05:03,Graffiti,"79, Warrington Street, Mairehau, 8013, Canterbury"
